City,Street,Accident_Count
Acworth,I-75 N,73
Acworth,Cherokee Rd,59
Acworth,Highway 92,38
Acworth,I-75 S,36
Acworth,Cobb Parkway North NW,14
Acworth,Glade Rd SE,9
Acworth,Lake Acworth Dr NW,7
Ada,I-96 W,45
Ada,I-96 E,20
Ada,Fulton St E,18
Ada, Fulton St E,14
Ada,Pettis Ave NE,7
Ada,Honey Creek Ave NE,6
Ada, State Highway 19,3
Ada,Ada Dr SE,3
Ada,Buttrick Ave SE,3
Ada,36th St SE,2
Adah, Palmer Rd,4
Adah,Edenborn Rd,2
Adah,State Route 3013,2
Adah, Hartley Hill Rd,1
Adah, Thompson 1 Rd,1
Adair,I-80 W,41
Adair,I-80 E,35
Adair,I-80,31
Adair,5th St,5
Adair,US-6 W,4
Adair, Gibbon Ave,2
Adair,I-44 W,2
Adair,Highway 69 N,1
Adair,Will Rogers Tpke,1
Adair Village, NE Vandenberg Ave,5
Adairsville,GA-401 N,74
Adairsville,I-75,46
Adairsville,GA-401 S,44
Adairsville,I-75 N,25
Adairsville,I-75 S,16
Adairsville, Highway 140 NW,9
Adairsville, Joe Frank Harris Pkwy NW,9
Adairsville,Highway 140 NW,8
Adairsville,Union Grove Rd SE,7
Adairsville,Adairsville Rest Area,6
Adairville, W Gallatin St,1
Adams,NE Highway 11,68
Adams, Rothrock Rd,35
Adams, NE Highway 11,24
Adams,Helix Hwy,11
Adams, State Highway 56,9
Adams,I-24 E,9
Adams,I-24 W,8
Adams, Moens Rd,6
Adams, S Main St,6
Adams,Helix Cemetery Rd,4
Adams Center,I-81 N,5
Adams Center,County Route 66,2
Adams Center, State Route 177,1
Adams Center,Kellogg Rd,1
Adams Center,US Route 11,1
Adams Run,Parkers Ferry Rd,8
Adams Run,Savannah Hwy,8
Adams Run, Savannah Hwy,3
Adams Run, County Line Rd,2
Adams Run, Geddisville Rd,1
Adams Run, Parkers Ferry Rd,1
Adams Run,Acon Ln,1
Adams Run,Highway 174,1
Adams Run,N Jupiter Hill Rd,1
Adams Run,Old Jacksonboro Rd,1
Adamsburg, Edna Rd,7
Adamsburg, Red Dog Ln,3
Adamsburg,Edna Rd,1
Adamstown, Buckeystown Pike,42
Adamstown, Dickerson Rd,11
Adamstown, Fingerboard Rd,10
Adamstown, Park Mills Rd,5
Adamstown, Tuscarora Rd,5
Adamstown,Flint Hill Rd,4
Adamstown, Greenfield Rd,3
Adamstown,Bishop Claggett Ln,3
Adamstown,Buckeystown Pike,3
Adamstown,Greenfield Rd,3
