City,Street,Accident_Count
Claxton,Duval St,2
Claxton,Plyler St,2
Claxton, Bruton Collins Rd,1
Clay,NY-481 N,44
Clay, State Route 31,17
Clay,State Route 31,11
Clay,NY-481 S,7
Clay,Henry Clay Blvd,6
Clay, Henry Clay Blvd,4
Clay, Morgan Rd,2
Clay,Caughdenoy Rd,2
Clay,Morgan Rd,2
Clay, Verplank Rd,1
Clay City, Irvine Rd,1
Clay City,Mountain Pkwy E,1
Clay City,Mountain Pkwy W,1
Clay City,Powell Rd,1
Claymont,I-495 S,103
Claymont,I-95 N,98
Claymont,I-495 N,96
Claymont,I-95 S,52
Claymont,I-495,47
Claymont, Philadelphia Pike,32
Claymont,Philadelphia Pike,32
Claymont,Naamans Rd,19
Claymont,I-95,15
Claymont,Society Dr,8
Claypool, S County Road 300 E,6
Claypool, E Highway 60,3
Claypool, S 400 E,2
Claypool, S County Road 100 E,2
Claypool, S State Road 15,1
Claypool,E State Road 14,1
Claypool,S 2nd St,1
Claypool,Wilson St,1
Claysburg, Dunnings Hwy,17
Claysburg, Cottontown Rd,8
Claysburg, Ski Gap Rd,8
Claysburg,US-220,6
Claysburg, Beaver Dam Rd,4
Claysburg, Quarry Rd,3
Claysburg, Bedford St,2
Claysburg, Locust Hollow Rd,2
Claysburg, N Scrubgrass Rd,2
Claysburg, Right Hand Gap Rd,2
Claysville,I-70 W,38
Claysville,I-70,36
Claysville,I-70 E,32
Claysville, Route 40,6
Claysville,S Bridge Rd,6
Claysville, Main St,4
Claysville, State Route 40 W,3
Claysville, US-40,3
Claysville,Highland Ridge Rd,3
Claysville,McClelland Rd,3
Clayton, Marsh Creek Rd,111
Clayton,I-70 W,98
Clayton,US 70 Business Hwy W,84
Clayton,Marsh Creek Rd,73
Clayton,I-70 E,68
Clayton,NC Highway 42 W,45
Clayton,Guy Rd,41
Clayton,Hoke Rd,31
Clayton, NC Highway 42 E,28
Clayton, NC Highway 42 W,28
Clayville, State Route 8,5
Clayville,State Route 8,5
Clayville, Holman City Rd,1
Clayville, Morgan St,1
Clayville,Babcock Hill Rd,1
Clayville,Cedar Lake Rd,1
Clayville,Mohawk St,1
Cle Elum,I-90 W,186
Cle Elum,I-90 E,152
Cle Elum, Highway 97,9
Cle Elum,Sunset Hwy,9
Cle Elum,NFD Road 9090,7
Cle Elum, US Highway 97,6
Cle Elum,Bullfrog Rd,5
Cle Elum,Lake Easton Rd,5
Cle Elum,Kachess Lake Rd,4
Cle Elum,Yellowstone Rd,4
Clear Brook,I-81 S,117
Clear Brook,I-81 N,72
Clear Brook,I-81,26
Clear Brook, Martinsburg Pike,22
Clear Brook,Hopewell Rd,12
Clear Brook, Cedar Hill Rd,11
Clear Brook,Rest Church Rd,10
Clear Brook, Brucetown Rd,4
Clear Brook, Hiatt Rd,4
Clear Brook, Zachary Ann Ln,4
Clear Lake, Highway 10,45
Clear Lake,I-35 N,22
Clear Lake,I-35 S,22
Clear Lake, Main Ave,20
Clear Lake, State Highway 24,20
Clear Lake,Main Ave,20
Clear Lake, 125th Ave,16
Clear Lake,Highway 10,16
Clear Lake,IA-27 N,10
Clear Lake, 120th Ave,8
Clear Spring,I-70 E,128
Clear Spring,I-70 W,75
Clear Spring, National Pike,39
Clear Spring,I-70,23
Clear Spring, Boyd Rd,4
Clear Spring, Nesbitt Ave,3
Clear Spring, Saint Paul Rd,3
Clear Spring,Clear Spring Rd,3
Clear Spring,National Pike,3
Clear Spring, Cove Rd,2
Clearbrook, State Highway 92,2
Clearbrook,460th St,1
Clearfield,I-15 N,399
Clearfield,I-15 S,295
Clearfield,I-80 E,155
Clearfield,I-15,111
Clearfield,E 650 N,108
Clearfield, N Main St,103
Clearfield,I-80 W,98
Clearfield, N 2000 W,93
Clearfield, W 1800 N,90
Clearfield,N 2000 W,75
Clearlake, E Highway 20,75
Clearlake,E Highway 20,28
Clearlake,Highway 53,8
Clearlake,Sulphur Bank Dr,8
Clearlake, Lakeshore Dr,7
Clearlake, CA-53,5
Clearlake, Old Highway 53,3
Clearlake,Boyles Ave,3
Clearlake,Old Highway 53,3
Clearlake, 18th Ave,2
Clearlake Oaks, E Highway 20,265
Clearlake Oaks,E Highway 20,92
Clearlake Oaks, New Long Valley Rd,25
Clearlake Oaks,CA-20,13
Clearlake Oaks,Hillside Ln,12
Clearlake Oaks, Watertrough Rd,11
Clearlake Oaks, High Valley Rd,7
Clearlake Oaks, Round Mountain Rd,7
Clearlake Oaks, Oakgrove Ave,6
Clearlake Oaks, Pine St,6
Clearmont, 170th St,1
Clearville, Clear Ridge Rd,3
Clearville, Beans Cove Rd,2
Clearville, Cherry Ln,2
Clearville, Bartholow Rd,1
Clearville, Chaneysville Rd,1
Clearville, W Mattie Rd,1
Clearville,Bartholow Rd,1
Clearville,Beans Cove Rd,1
Clearville,Clear Ridge Rd,1
Clearville,Union Church Rd,1
Clearwater,US Highway 19 N,726
Clearwater,US-19 N,545
Clearwater,I-94 E,411
Clearwater,Gulf to Bay Blvd,354
Clearwater, US Highway 19 N,353
Clearwater,Ulmerton Rd,321
Clearwater, Gulf to Bay Blvd,283
Clearwater, Ulmerton Rd,262
Clearwater,US-19 S,240
Clearwater,Drew St,206
Clearwater Beach, Mandalay Ave,20
Clearwater Beach,Mandalay Ave,20
Clearwater Beach, S Gulfview Blvd,16
Clearwater Beach,Island Way,16
Clearwater Beach, Causeway Blvd,11
Clearwater Beach, Coronado Dr,7
Clearwater Beach,Causeway Blvd,7
Clearwater Beach, Gulf Blvd,5
Clearwater Beach, Poinsettia Ave,5
Clearwater Beach,Clearwater Memorial Cswy,5
Cleburne, Atlantic St,1
Cleburne, E Henderson St,1
Cleburne, N Lewis,1
Cleburne, Olive St,1
Cleburne, Overlook Dr,1
Cleburne, Royal St,1
Cleburne,Colonial Dr,1
Cleburne,E Highway 67,1
Cleburne,E Katherine P Rains Rd,1
Cleburne,Euclid St,1
Clementon, S White Horse Pike,22
Clementon, White Horse Pike,22
Clementon,S White Horse Pike,21
Clementon, Gibbsboro Rd,20
Clementon,White Horse Pike,12
Clementon,Blackwood Clementon Rd,7
Clementon,Gibbsboro Rd,7
Clementon, Arthur Ave,5
Clementon,Little Gloucester Rd,5
Clementon, Stone Rd,4
Clements, State Route 88,29
Clements, E State Route 88 Hwy,16
Clements, E State Route 12 Hwy,14
Clements, N Mackville Rd,8
Clements, CA-88,7
Clements, US Highway 71,5
Clements, E Liberty Rd,4
Clements, N McIntire Rd,4
Clements, 235th St,2
Clements, E Ranchero Rd,2
Clemmons,I-40 W,48
Clemmons,I-40 E,43
Clemmons,Lewisville Clemmons Rd,22
Clemmons,US-421,20
Clemmons,I-40,17
Clemmons, Hampton Rd,7
Clemmons, N NC Highway 150,6
Clemmons, N NC Hwy 150,6
Clemmons,Harper Rd,3
Clemmons,Stadium Dr,3
Clemons, State Route 22,5
Clemons, County Route 6,3
Clemons, Ottenburgh Rd,1
Clemson,Anderson Hwy,55
Clemson,Old Stone Church Rd,24
Clemson, College Ave,22
Clemson,Old Greenville Hwy,22
Clemson,College Ave,21
Clemson, Tiger Blvd,16
Clemson,Tiger Blvd,16
Clemson,Old Cherry Rd,11
Clemson, Old Greenville Hwy,6
Clemson,Pendleton Rd,6
Clendenin,I-79,48
Clendenin,I-79 S,30
Clendenin,I-79 N,16
Clendenin, Elk River Rd S,4
Clendenin, Spencer Rd,4
Clendenin, Elk River Rd N,2
Clendenin,County Route 5/3,1
Clendenin,French St,1
Clendenin,Spencer Rd,1
Cleona,W Penn Ave,7
Cleona, Dairy Rd,2
Cleona, E Penn Ave,2
Cleona, E Union Aly,2
Cleona, W Penn Ave,2
Cleona, S Christian St,1
Cleona, S Lincoln St,1
Cleona, W Union Aly,1
Cleona, Willow Ave,1
Cleona,N Lincoln St,1
Clermont,Florida's Tpke S,272
Clermont,Florida's Tpke N,199
Clermont, US Highway 27,169
Clermont,US Highway 27,111
Clermont,Florida's Tpke,92
Clermont,N Hancock Rd,56
Clermont, State Road 33,48
Clermont,Cagan Crossings Blvd,38
Clermont,S Highway 27,27
Clermont,US-27,27
Cleveland,I-90 E,1070
Cleveland,I-90 W,711
Cleveland,I-480 E,579
Cleveland,I-480 W,415
Cleveland,I-71 N,331
Cleveland,I-90,316
Cleveland,I-480,253
Cleveland,I-71 S,243
Cleveland,I-77 N,238
Cleveland,OH-2 E,222
Cleveland Heights, Cedar Rd,2
Cleveland Heights,Blanche Ave,2
Cleveland Heights,Berkshire Rd,1
Cleveland Heights,Fairmount Blvd,1
Cleveland Heights,Rossmoor Rd,1
Cleves,I-275 N,70
Cleves,I-275 S,52
Cleves,I-275,40
Cleves,I-74 W,36
Cleves,US-52 E,30
Cleves,State Route 128,26
Cleves,I-74,14
Cleves,I-74 E,10
Cleves, State Route 128,6
Cleves,US Highway 50,6
Clewiston, W US Highway 27,21
Clewiston,W US Highway 27,18
Clewiston, E Sugarland Hwy,9
Clewiston,Old US Highway 27,9
Clewiston, E State Road 80,8
Clewiston,Evercane Rd,8
Clewiston, County Road 833,6
Clewiston,County Road 835,6
Clewiston,E State Road 80,6
Clewiston,E US Highway 27,6
Clifford Township, State Route 374,1
Cliffside Park,Palisade Ave,2
Cliffside Park,Anderson Ave,1
Cliffside Park,Hudson Pl,1
Cliffwood,Garden State Pkwy N,11
Cliffwood,Garden State Pkwy,3
Cliffwood,State Highway 35,2
Cliffwood, State Highway 35,1
Cliffwood,Garden State Pkwy Express Lane,1
Cliffwood,Smith Ct,1
Cliffwood,State Route 35,1
Clifton,State Route 3,474
Clifton,Garden State Pkwy S,208
Clifton,Garden State Pkwy N,196
Clifton,NJ-21 N,160
Clifton,NJ-21 S,149
Clifton,Garden State Pkwy,139
Clifton, State Route 3,129
Clifton,RT-21,127
Clifton,NJ-3 W,112
Clifton,RT-3,110
Clifton Forge,I-64 E,33
Clifton Forge,I-64 W,29
Clifton Forge,US-60,22
Clifton Forge,US-220 N,11
Clifton Forge,US-60 E,9
Clifton Forge, Verge St,8
Clifton Forge,US-60 W,7
Clifton Forge, Longdale Furnace Rd,6
Clifton Forge, Whisper Cir,6
Clifton Forge,I-64,5
Clifton Heights, E Baltimore Ave,4
Clifton Heights, Aldan Ave,3
Clifton Heights, Rockbourne Ave,3
Clifton Heights, W Baltimore Ave,3
Clifton Heights,N Springfield Rd,3
Clifton Heights, N Springfield Rd,2
Clifton Heights, Providence Rd,2
Clifton Heights, S Springfield Rd,2
Clifton Heights, Springfield Rd,2
Clifton Heights,N Glenwood Ave,2
Clifton Park,Adirondack Northway S,675
Clifton Park,Adirondack Northway N,399
Clifton Park, Route 146,158
Clifton Park,Route 146,152
Clifton Park,Clifton Park Rd,88
Clifton Park,Crescent Rd,70
Clifton Park,Grooms Rd,62
Clifton Park,Ushers Rd,62
Clifton Park, Clifton Park Rd,42
Clifton Park,Route 9,33
Clifton Springs,I-90 W,119
Clifton Springs,I-90 E,30
Clifton Springs,New York Trwy E,3
Clifton Springs, County Road 25,2
Clifton Springs, State Route 96,2
Clifton Springs, County Road 7,1
Clifton Springs,Bunker Hill Rd,1
Clifton Township, State Route 435,1
Clifton Township,State Route 435,1
Climax,I-94 W,78
Climax,I-94 E,32
Climax,S 40th St,12
Climax, Pelham Rd,8
Climax,US Highway 421,8
Climax, NC Highway 62 E,5
Climax, Monnett Rd,4
Climax,Officer Eric Zapata Memorial Highway E,3
Climax, Old Liberty Rd,2
Climax, Salem Church Rd,2
Clinchco, Dickenson Hwy,12
Clinchco, Road Br,4
Clinchco,Dickenson Hwy,3
Clinchco,Dante Mountain Rd,1
Clint,I-10 E,17
Clint,I-10 W,15
Clint,I-10,10
Clint, Alameda Ave,5
Clint,Alameda Ave,5
Clint, Brown St,2
Clint, Herring,2
Clint, N Loop Dr,2
Clint, Pennington Dr,2
Clint,Camino de la Rosa Rd,2
Clinton,Interstate 90,470
Clinton,I-26 W,326
Clinton,I-26 E,237
Clinton,Branch Ave S,151
Clinton,I-90 E,137
Clinton,I-90 W,136
Clinton,I-26,122
Clinton,Highway 72 E,112
Clinton,Branch Ave N,109
Clinton, Branch Ave,98
Clinton Corners,Taconic State Pkwy,128
Clinton Corners,Salt Point Tpke,100
Clinton Corners, Salt Point Tpke,19
Clinton Corners,Pumpkin Ln,12
Clinton Corners,Route 82,10
Clinton Corners, Route 82,8
Clinton Corners, Clinton Corners Rd,3
Clinton Corners, Hollow Rd,3
Clinton Corners, Nine Partners Rd,3
Clinton Corners, Pumpkin Ln,2
Clinton Township,I-94 W,248
Clinton Township,I-94 E,156
Clinton Township,Garfield Rd,18
Clinton Township,Groesbeck Hwy,17
Clinton Township, Hall Rd,15
Clinton Township,15 Mile Rd,15
Clinton Township, Garfield Rd,13
Clinton Township,S Gratiot Ave,13
Clinton Township, 15 Mile Rd,11
Clinton Township,Metro Pkwy,11
Clintondale,Route 44 55,4
Clintondale, Old Route 44,2
Clintondale, Route 44 55,1
Clintondale, S Ohioville Rd,1
Clintondale,I-87 N,1
Clintondale,I-87 S,1
Clintonville,N9129 US Highway 45,3
Clintonville,N9251 US Highway 45,3
Clintonville, Emlenton St,1
Clintonville,E11022 State Road 156,1
Clintonville,E9398 Silver Creek Rd,1
Clintonville,E9401 Deer Creek Rd,1
Clintonville,E9999 State Road 156,1
Clintonville,Jepson Rd,1
Clintonville,Knitt Rd,1
Clintonville,N10997 US Highway 45,1
Clintwood, Coeburn Rd,6
Clintwood,Dickenson Hwy,3
Clintwood, Crack Rock Rd,2
Clintwood, Omaha Sunset Rd,2
Clintwood, Big Ridge Rd,1
Clintwood,Big Ridge Rd,1
Clintwood,Carl Jessie Ln,1
Clintwood,Coeburn Rd,1
Clio,I-75 N,322
Clio,W Vienna Rd,297
Clio,N Linden Rd,188
Clio,N Saginaw Rd,95
Clio,I-75 S,86
Clio,W Wilson Rd,63
Clio,N Clio Rd,61
Clio,W Vienna St,60
Clio, W Vienna Rd,54
Clio,N Lewis Rd,50
Clipper Mills, Merry Way,4
Clipper Mills, La Porte Rd,3
Clitherall, State Highway 210,7
Clitherall,State Highway 210,4
Clitherall, 425th Ave,2
Clitherall, Cliff Rd,2
Clitherall, Erickson Rd,2
Clitherall, Meadow Brook Dr,1
Clitherall, N Clitherall Lake Rd,1
Clive,I-35 N,84
Clive,I-35 S,76
Clive,Hickman Rd,27
Clive, Hickman Rd,17
Clive,I-80 W,15
Clive,I-35,13
Clive,I-80 E,13
Clive,NW 86th St,12
Clive,University Ave,9
Clive, NW 111th St,8
Clontarf, S Kildare Ave,1
Clontarf,E O'Connell Ave,1
Clopton,State Highway 10 W,1
Cloquet,I-35 N,55
Cloquet,I-35 S,30
Cloquet, Highway 210,28
Cloquet, Highway 33 N,16
Cloquet,Highway 33 S,11
Cloquet, Highway 2,8
Cloquet,Highway 33 N,6
Cloquet,Maple Grove Rd,6
Cloquet,Mission Rd,6
Cloquet, Highway 33 S,5
Closter,Closter Dock Rd,3
Closter,Homans Ave,2
Closter,West St,2
Closter, Knickerbocker Rd,1
Closter,Anderson Ave,1
Closter,High St,1
Closter,Jane St,1
Closter,Knickerbocker Rd,1
Closter,Old Hook Rd,1
Closter,Ruckman Rd,1
Cloudcroft,Highway 82,2
Cloudcroft, Highway 82,1
Cloudcroft,McGregor Range Rd,1
Cloudcroft,US Highway 70,1
Cloudcroft,WSMR S Route 261,1
Cloutierville,LA-119,2
Clover,Charlotte Hwy,219
Clover, Charlotte Hwy,81
Clover, Highway 557,75
Clover,Highway 55 E,71
Clover,Highway 557,60
Clover,Highway 274,53
Clover, Highway 274,52
Clover, Highway 55 E,40
Clover, Ridge Rd,23
Clover,Highway 55 W,23
Cloverdale, Highway 101 S,318
Cloverdale,I-70 E,98
Cloverdale,CA-128 W,91
Cloverdale,I-70 W,65
Cloverdale,CA-128 E,56
Cloverdale,Highway 101 S,55
Cloverdale,Redwood Hwy S,46
Cloverdale,I-70,40
Cloverdale,CA-128,39
Cloverdale, Little Nestucca River Rd,33
Clovis,CA-168 E,101
Clovis,CA-168 W,92
Clovis, Tollhouse Rd,88
Clovis, Auberry Rd,66
Clovis,CA-168,57
Clovis, E Herndon Ave,55
Clovis,Tollhouse Rd,32
Clovis, N Academy Ave,29
Clovis, E Copper Ave,27
Clovis, E Shepherd Ave,26
Clute,TX-332,5
Clute, Brazosport Blvd N,3
Clute,FM 2004 Rd,2
Clute,Highway 332,2
Clute, Brazosport Blvd S,1
Clute, County Road 223,1
Clute,Brazosport Blvd N,1
Clute,Brazosport Blvd S,1
Clute,College Dr,1
Clute,Dixie Dr,1
Clyde,I-40 E,181
Clyde,I-40 W,168
Clyde,I-40,79
Clyde,Harmon Den Rd,47
Clyde,US-74,46
Clyde, Carolina Blvd,19
Clyde, Hospital Dr,15
Clyde,US-64 Trk W,14
Clyde,US-64 Trk E,12
Clyde,I-80 E,9
Clyde Hill,NE 15th St,1
Clyde Park,US Highway 89 N,1
Clymer, Franklin St,8
Clymer, Route 403 Hwy N,6
Clymer, Route 474,6
Clymer, Route 553 Hwy,4
Clymer, State Route 403,4
Clymer, Diamondville Rd,3
Clymer, Route 286 Hwy E,2
Clymer,Spruce Ave,1
Clyo, Ga Hwy 119,1
Coachella,I-10 W,4
Coachella, Dillon Rd,2
Coachella,CA-86,1
Coachella,CA-86 N,1
Coachella,CA-86 S,1
Coachella,I-10 E,1
Coahoma,I-20 W,5
Coahoma, Old Lula Rich Rd,1
Coahoma,I-20 E,1
Coahoma,Old Lula Rich Rd,1
Coahoma,US-61 S,1
Coal Center,PA-43-TPKE,7
Coal Center,James J Manderino Hwy N,4
Coal Center,James J Manderino Hwy S,4
Coal Center,Malden Rd,3
Coal Center, Highpoint Dr,1
Coal Center,Chalfant Rd,1
Coal Center,Elco Hill Rd,1
Coal Center,Elco Hollow Rd,1
Coal Center,Monvalley Expy S,1
Coal City,I-55 S,13
Coal City,W Division St,2
Coal City,Crystal Ln,1
Coal City,E Pine Bluff Rd,1
Coal City,N Jugtown Rd,1
Coal City,N Tinman St,1
Coal City,S Redmond St,1
Coal Hill,E Highway 64,1
Coal Township, State Route 61,31
Coal Township,State Route 61,12
Coal Township,State Highway 901,9
Coal Township,State Route 54,7
Coal Township, State Route 125,5
Coal Township, State Highway 901,4
Coal Township, State Route 901,4
Coal Township,Old Excelsior Rd,4
Coal Township, A St,3
Coal Township, Trevorton Rd,3
Coal Twp, Roaring Creek Rd,4
Coal Twp, State Route 61,3
Coal Twp,PA-61,2
Coal Twp, Chestnut St,1
Coal Twp, State Route 125,1
Coal Twp,Dirt Rd,1
Coal Twp,PA-901,1
Coal Twp,State Route 61,1
Coal Valley,Chicago-Kansas City Expressway E,6
Coal Valley,I-80 E,3
Coal Valley,I-280 E,2
Coaldale, US Highway 50,3
Coaldale,W Water St,1
Coalgate,OK-3,2
Coalgate, W Queen Ave,1
Coaling,Lower Coaling Rd,5
Coaling, Highway 11 N,4
Coaling,Highway 11 N,4
Coaling,Middle Coaling Rd,3
Coaling, Keenes Mill Rd,2
Coaling,Keenes Mill Rd,2
Coalinga,I-5 N,133
Coalinga,I-5 S,104
Coalinga,CA-33 N,53
Coalinga,CA-33 S,50
Coalinga,S Derrick Ave,46
Coalinga, W Dorris Ave,44
Coalinga, Fresno Coalinga Rd,41
Coalinga,CA-33,40
Coalinga,I-5,39
Coalinga,Westside Fwy S,39
Coalmont, US Highway 40,14
Coalmont,US-40,5
Coalmont,County Road 24,1
Coalmont,US Highway 40,1
Coalport, Main St,16
Coalport, 53 Blvd,9
Coalport, Glendale Blvd,8
Coalport, Spruce St,6
Coalport,Glendale Blvd,5
Coalport, Blain St,4
Coalport, Gill Hollow Rd,4
Coalport, Railroad St,4
Coalport, Cross Roads Blvd,3
Coalport,53 Blvd,3
Coalton,US-33 E,1
Coalton,US-33 W,1
Coalville,I-80 W,439
Coalville,I-80 E,367
Coalville,I-80,112
Coalville,I-84,30
Coalville,Castle Rock,21
Coalville,W 100 S,20
Coalville, N State Road 32,14
Coalville,I-84 E,12
Coalville,I-84 W,12
Coalville,S State Road 32,12
Coarsegold, Highway 41,342
Coarsegold,Highway 41,157
Coarsegold, Yosemite Springs Pkwy,35
Coarsegold, Road 415,23
Coarsegold,Yosemite Springs Pkwy,20
Coarsegold,Road 415,15
Coarsegold, Road 400,13
Coarsegold, Road 416,13
Coarsegold, Road 417,11
Coarsegold,Road 207,11
Coatesville,Coatesville Downingtown Byp E,156
Coatesville,Coatesville Downingtown Byp W,119
Coatesville, E Lincoln Hwy,73
Coatesville,US-30,63
Coatesville, W Lincoln Hwy,56
Coatesville, N 1st Ave,51
Coatesville,Downingtown Coatesville Byp,48
Coatesville, Doe Run Rd,42
Coatesville,S 1st Ave,30
Coatesville, W Kings Hwy,25
Coats, NC-27 E,8
Coats, NC 27 E,5
Coats, Chic Ennis Rd,1
Coats, NC-55 W,1
Coats, W Stewart St,1
Coats,Baileys Crossroads Rd,1
Coats,E Stewart St,1
Coats,NC 27 E,1
Coats,NC Highway 55 E,1
Coats,Red Hill Church Rd,1
Cobalt, Coughlin Rd,3
Cobalt, Old Middletown Rd,2
Cobb, Bottle Rock Rd,19
Cobb,Bottle Rock Rd,8
Cobb, US-280,6
Cobb, CA-175,4
Cobb, Gifford Springs Rd,4
Cobb, State Highway 175,4
Cobb, Emerford Rd,3
Cobb, Gard Rd,3
Cobb, Golf Rd,3
Cobb, Cobb Blvd,2
Cobbs Creek, Buckley Hall Rd,4
Cobbs Creek, Ridge Rd,2
Cobbs Creek, Roane Point Dr,2
Cobbs Creek, Twiggs Ferry Rd,1
Cobbs Creek,Blue Heron Ln,1
Cobbs Creek,Twiggs Ferry Rd,1
Cobbtown,County Road 227,4
Cobbtown, GA-23,3
Cobbtown, Railroad St,3
Cobbtown,Macwac Lake Rd,3
Cobbtown,Main St,3
Cobbtown, Bill Sikes Rd,2
Cobbtown, Canoochee Rd,2
Cobbtown,El Vaughan Rd,2
Cobbtown, GA Highway 23,1
Cobbtown, GA Highway 57,1
Cobleskill,I-88 E,12
Cobleskill,I-88 W,11
Cobleskill, State Route 145,4
Cobleskill, State Route 7,4
Cobleskill, E Main St,2
Cobleskill, Park Pl,2
Cobleskill,E Main St,2
Cobleskill, Burgin Dr,1
Cobleskill, Clove Rd,1
Cobleskill, Rhinebeck Rd,1
Coburn,Main St,1
Coburn Gore, The Arnold Trl,1
Cochecton, State Route 17B,2
Cochecton, State Route 52,2
Cochecton,Kelly Rd,1
Cochise,I-10 E,15
Cochise,I-10 W,7
Cochise,N Highway 191,3
Cochise,Pearl Harbor Memorial Highway,2
Cochise, W Rath Ave,1
Cochise,S Weigand Rd,1
Cochran,I-16,10
Cochran, GA-87,4
Cochran,GA Highway 26 E,3
Cochran, E Dykes St,2
Cochran, GA Highway 26 E,2
Cochran, Highway 26 E,2
Cochran, Lucas Rd,2
Cochran, Williams Rd,2
Cochran,Highway 87 Byp S,2
Cochran,GA Highway 278,1
Cochranton, US-322,5
Cochranton,Rice Rd,4
Cochranton, N Franklin St,3
Cochranton,State Highway 285,3
Cochranton, Franklin Pike Rd,2
Cochranton, PA-173,2
Cochranton, Ridgeway Hill Rd,2
Cochranton,I-79 N,2
Cochranton,Stizerville Rd,2
Cochranton,US Highway 322,2
Cochranville, Limestone Rd,33
Cochranville, Gap Newport Pike,22
Cochranville,Gap Newport Pike,9
Cochranville,Limestone Rd,8
Cochranville, Faggs Manor Rd,4
Cochranville, Village Rd,4
Cochranville,White Horse Rd,3
Cochranville, Friendship Church Rd,2
Cochranville, Myers Dr,2
Cochranville, Steelville Rd,2
Cockeysville,I-83 N,145
Cockeysville,I-83 S,83
Cockeysville,I-83,52
Cockeysville, York Rd,35
Cockeysville,W Padonia Rd,24
Cockeysville,Warren Rd,14
Cockeysville,Shawan Rd,12
Cockeysville,York Rd,10
Cockeysville, Falls Rd,8
Cockeysville,Beaver Dam Rd,7
Cocoa,I-95 N,322
Cocoa,I-95 S,253
Cocoa,Martin Anderson Beachline Expy,212
Cocoa, King St,161
Cocoa,King St,132
Cocoa,I-95,79
Cocoa,SR-528-TOLL,76
Cocoa,State Road 524,49
Cocoa, Fay Blvd,44
Cocoa, N Highway 1,42
Cocoa Beach,N Atlantic Ave,11
Cocoa Beach, N Atlantic Ave,10
Cocoa Beach, S Atlantic Ave,7
Cocoa Beach,W Cocoa Beach Cswy,5
Cocoa Beach, S Orlando Ave,4
Cocoa Beach,N Banana River Blvd,4
Cocoa Beach,S 14th St,3
Cocoa Beach,S Atlantic Ave,3
Cocoa Beach, Bay St,2
Cocoa Beach,Cocoa Beach Cswy W,2
Cocoa Beach-Cape Canaveral,Bee Line Expy,1
Cocoa Beach-Cape Canaveral,Bennett Cswy E,1
Cocoa Beach-Cape Canaveral,FL-A1A E,1
Cocoa-Rockledge,Beachline Expy,3
Cocoa-Rockledge,FL-528 W,3
Cocoa-Rockledge,W Merritt Island Cswy,1
Cocolalla, Highway 95,6
Cocolalla,Highway 95,1
Cocolamus, PA-35,9
Cocolamus, Route 35 N,6
Cocolamus, Little Evendale Rd,3
Cocolamus,Route 35 N,1
Coconut Creek,NW 40th Ln,47
Coconut Creek,NW 40th Ave,17
Coconut Creek,Lyons Rd,8
Coconut Creek,W Hillsboro Blvd,3
Coconut Creek,NW 49th St,2
Coconut Creek,NW 54th Ave,2
Coconut Creek,W Atlantic Blvd,2
Coconut Creek,W Sample Rd,2
Coconut Creek,N State Road 7,1
Coconut Creek,NW 21st St,1
Coden,Dauphin Island Pkwy,8
Coden,Highway 188,6
Coden, Highway 188,3
Coden, Dauphin Island Pkwy,2
Coden,Bellingrath Rd,2
Coden, J.T. Lilley Rd,1
Coden,Heron Bay Loop Rd S,1
Coden,Lossing Rd,1
Cody,Belfry Hwy,5
Cody, N Fork Hwy,1
Cody, Sheridan Ave,1
Cody, State Highway 120,1
Cody, US Highway 212,1
Cody,Crandall Rd,1
Cody,State Highway 120,1
Codyville Plt, Vanceboro Rd,1
Codyville Plt,Vanceboro Rd,1
Coeburn,Cranes Nest Rd,8
Coeburn, Norton-Coeburn Rd,5
Coeburn, Bull Run Rd,4
Coeburn, Carter Stanley Hwy,4
Coeburn, Hanging Rock Pkwy,4
Coeburn, Toms Creek Rd,3
Coeburn,Carfax Rd,3
Coeburn,Norton-Coeburn Rd,3
Coeburn, Dungannon Rd,2
Coeburn, Flat Top Rd,2
Coeur D Alene,I-90 E,98
Coeur D Alene,I-90 W,59
Coeur D Alene, S Highway 95,23
Coeur D Alene, N Highway 95,9
Coeur D Alene, Lincoln Way,4
Coeur D Alene,N Highway 95,4
Coeur D Alene,S Highway 97,3
Coeur D Alene, S Putnam Rd,2
Coeur D Alene,E Mullan Trail Rd,2
Coeur D Alene, Mill Ave,1
Coeymans Hollow, Indian Fields Rd,10
Coeymans Hollow, State Route 143,4
Coeymans Hollow,Indian Fields Rd,2
Coeymans Hollow, County Route 111,1
Coeymans Hollow,County Route 111,1
Coeymans Hollow,Gedney Hill Rd,1
Coeymans Hollow,State Route 143,1
Coffee Creek, MT Highway 81,3
Coffee Creek,Hartmann Ln,1
Coffeen,W 3rd St,1
Coffeeville,Highway 84,2
Coffeeville, County Road 436,1
Coffeeville, Highway 7,1
Coffeeville,Highway 7,1
Coffeyville,US-166 E,2
Cofield, Farmers Chemical Rd,6
Cofield, River Rd,2
Cogan Station,US-15 S,23
Cogan Station,US-15 N,16
Cogan Station,US-15,13
Cogan Station, State Route 973 E,11
Cogan Station, Lycoming Creek Rd,10
Cogan Station, State Route 973 W,6
Cogan Station,State Route 973 W,6
Cogan Station, PA-973,5
Cogan Station, Pleasant Valley Rd,5
Cogan Station,Lycoming Creek Rd,4
Cogswell,90th St SE,2
Cogswell, 116th Ave SE,1
Cohagen, Highway 59 N,7
Cohagen, Highway 200 E,5
Cohagen,Highway 200 E,1
